Question,Your Answer
Auf allen Autobahnen soll ein generelles Tempolimit gelten.,Agree
Deutschland soll seine Verteidigungsausgaben erhöhen.,Neutral
Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,Disagree
Die Förderung von Windenergie soll beendet werden.,Agree
"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",Neutral
Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,Disagree
Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,Agree
Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,Neutral
Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,Disagree
"Auf den Umsatz, der in Deutschland mit digitalen Dienstleistungen erzielt wird, soll eine nationale Steuer erhoben werden.",Agree
"Die traditionelle Familie aus Vater, Mutter und Kindern soll stärker als andere Lebensgemeinschaften gefördert werden.",Neutral
Spenden von Unternehmen an Parteien sollen weiterhin erlaubt sein.,Disagree
Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,Agree
"In Deutschland soll es generell möglich sein, neben der deutschen eine zweite Staatsbürgerschaft zu haben.",Disagree
Bundesbehörden sollen in ihren Veröffentlichungen unterschiedliche Geschlechtsidentitäten sprachlich berücksichtigen.,Neutral
"Die Ostsee-Pipeline „Nord Stream 2“, die Gas von Russland nach Deutschland transportiert, soll wie geplant in Betrieb gehen dürfen.",Agree
Der Solidaritätszuschlag soll vollständig abgeschafft werden.,Neutral
Das Tragen eines Kopftuchs soll Beamtinnen im Dienst generell erlaubt sein.,Disagree
Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,Agree
Der Bund soll mehr Zuständigkeiten in der Schulpolitik erhalten.,Neutral
Der Bund soll Projekte zur Bekämpfung des Antisemitismus stärker finanziell unterstützen.,Disagree
Chinesische Firmen sollen keine Aufträge für den Ausbau der Kommunikationsinfrastruktur in Deutschland erhalten dürfen.,Agree
Der Staat soll weiterhin für Religionsgemeinschaften die Kirchensteuer einziehen.,Neutral
Der kontrollierte Verkauf von Cannabis soll generell erlaubt sein.,Disagree
Deutschland soll aus der Europäischen Union austreten.,Agree
Die Landeslisten der Parteien für die Wahlen zum Deutschen Bundestag sollen abwechselnd mit Frauen und Männern besetzt werden müssen.,Neutral
Stationäre Behandlungen im Krankenhaus sollen weiterhin über eine Fallpauschale abgerechnet werden.,Disagree
Auf hohe Vermögen soll wieder eine Steuer erhoben werden.,Agree
Bei der Videoüberwachung öffentlicher Plätze soll Gesichtserkennungssoftware eingesetzt werden dürfen.,Neutral
Auch Ehepaare ohne Kinder sollen weiterhin steuerlich begünstigt werden.,Disagree
Ökologische Landwirtschaft soll stärker gefördert werden als konventionelle Landwirtschaft.,Agree
Islamische Verbände sollen als Religionsgemeinschaften staatlich anerkannt werden können.,Neutral
Der staatlich festgelegte Preis für den Ausstoß von CO2 beim Heizen und Autofahren soll stärker steigen als geplant.,Disagree
Die Schuldenbremse im Grundgesetz soll beibehalten werden.,Agree
Asyl soll weiterhin nur politisch Verfolgten gewährt werden.,Neutral
Der gesetzliche Mindestlohn soll spätestens im Jahr 2022 auf mindestens 12 Euro erhöht werden.,Disagree
Der Flugverkehr soll höher besteuert werden.,Agree
"Unternehmen sollen selbst entscheiden, ob sie ihren Beschäftigten das Arbeiten im Homeoffice erlauben.",Neutral
